State,Ballot Measures Include,Ballotpedia Link
AK,"Election reform (non-partisan primaries, ranked-choice voting); increased taxes on oil production",https://ballotpedia.org/Alaska_2020_ballot_measures
AL,Series of judicial reforms; authorizing the state to recompile the AL constitution,https://ballotpedia.org/Alabama_2020_ballot_measures
AR,Term limit reform; changes to referenda process,https://ballotpedia.org/Arkansas_2020_ballot_measures
AZ,Marijuana legalization; drug legalization; lowering of drinking age; Automatic Voter Registration; campaign finance reform; expansion of early voting,https://ballotpedia.org/Arizona_2020_ballot_measures
CA,Criminal sentencing reform; employment classification of app-based drivers; bail reform; allowing local communities to impose rent control,https://ballotpedia.org/California_2020_ballot_propositions
CO,Joining the National Popular Vote Compact; expansion of transportation bonds,https://ballotpedia.org/Colorado_2020_ballot_measures
CT,Allowing for early voting,https://ballotpedia.org/Connecticut_2020_ballot_measures
DE,None,
FL,Raising state minimum wage to $15 by 2026; changing to a top-two non-partisan primary system for state offices,https://ballotpedia.org/Florida_2020_ballot_measures
GA,Give the State Legislaure the power to establish special funds to fund projects,https://ballotpedia.org/Georgia_2020_ballot_measures
HI,"Lowering voting-age to 16, reform University of Hawaii regent selection; amend state constitution to enshrine housing as a top priority",https://ballotpedia.org/Hawaii_2020_ballot_measures
IA,Vote on if IA should hold a constitutional convention,https://ballotpedia.org/Iowa_2020_ballot_measures
ID,Requires there to be 35 legislative districts,https://ballotpedia.org/Idaho_2020_ballot_measures
IL,Enable the state to have a progressive income tax,https://ballotpedia.org/Illinois_2020_ballot_measures
IN,None,
KS,None currently on the ballot,https://ballotpedia.org/Kansas_2020_ballot_measures
KY,"Add Marsy's Law (expansion of victims', reduction in defendants' rights) to the state constitution",https://ballotpedia.org/Kentucky_2020_ballot_measures
LA,Constitutional ammendment banning abortions; minor tax reforms,https://ballotpedia.org/Louisiana_2020_ballot_measures
MA,"Ranked-choice voting; ""Right to Repair"" transportation regulation; Revising Medicaid rates",https://ballotpedia.org/Massachusetts_2020_ballot_measures
MD,Authorize sports betting; allowing General Assembly to amend governor-submitted budget,https://ballotpedia.org/Maryland_2020_ballot_measures
ME,Check back July 14,https://ballotpedia.org/Maine_2020_ballot_measures
MI,Change how state and local park funds from trusts can be spent,https://ballotpedia.org/Michigan_2020_ballot_measures
MN,None currently on the ballot,https://ballotpedia.org/Minnesota_2020_ballot_measures
MO,"Set two-term limit for state executive officials; address redisctricting, lobbying, and campaign finance",https://ballotpedia.org/Missouri_2020_ballot_measures
MS,Legalize medical marijuana,https://ballotpedia.org/Mississippi_2020_ballot_measures
MT,Remove local governments' authority to regulate firearms; slight consitution lanuage changes,https://ballotpedia.org/Montana_2020_ballot_measures
NC,None currently on the ballot,https://ballotpedia.org/North_Carolina_2020_ballot_measures
ND,Require voter-initiated constitutional ammendments to be approved on ballot twice if legislature rejects them; changes to the Board of Higher Education,https://ballotpedia.org/North_Dakota_2020_ballot_measures
NE,Outlaw slavery as a criminal punishment; increase repayment period for tax-increment financing for blighted properties,https://ballotpedia.org/Nebraska_2020_ballot_measures
NH,None,
NJ,Legalize recreational marijuana; allow peacetime veterans to recieve property tax deduction,https://ballotpedia.org/New_Jersey_2020_ballot_measures
NM,Increase funding for senior citizen facilities; increase funding for public libraries; increase funding for public schools,https://ballotpedia.org/New_Mexico_2020_ballot_measures
NV,Recognize same-sex marriage; increase voting rights; require 50% of utilities' electricity to come from renewable sources by 2030,https://ballotpedia.org/Nevada_2020_ballot_measures
NY,"Increase budget for enviornment, water infrastructure, and climate change projects",https://ballotpedia.org/New_York_2020_ballot_measures
OH,None currently on the ballot,https://ballotpedia.org/Ohio_2020_ballot_measures
OK,Redirect funds earned from tobacco companies to Medicade,https://ballotpedia.org/Oklahoma_2020_ballot_measures
OR,Reform state and local election finance laws; increase cigarette tax and nicotine inhalant tax to help fund health programs,https://ballotpedia.org/Oregon_2020_ballot_measures
PA,None,
RI,None,
SC,None,
SD,Legalize medical marijuana; legalize recreational marijuana; legalize sports betting in Deadwood,https://ballotpedia.org/South_Dakota_2020_ballot_measures
TN,None,
TX,None,
UT,Outlaw slavery as a criminal punishment; make constitutional language gener-neutral; make hunting and fishing a constitutional right,https://ballotpedia.org/Utah_2020_ballot_measures
VA,Create a redistricting commission,https://ballotpedia.org/Virginia_2020_ballot_measures
VT,None,
WA,Allows for Family/Medical Leave Funds to be Invested,https://ballotpedia.org/Washington_2020_ballot_measures
WI,"Add Marsy's Law (expansion of victims', reduction in defendants' rights) to the state constitution",https://ballotpedia.org/Wisconsin_2020_ballot_measures
WV,None currently on the ballot,https://ballotpedia.org/West_Virginia_2020_ballot_measures
WY,Eliminate debt limit on local infrastructure projects,https://ballotpedia.org/Wyoming_2020_ballot_measures