State,State Supreme Court Elections,State Supreme Court Ballotpedia Link,State Supreme Court Retention,State Supreme Court Comments
AK,Carney (Ind. appointee) is up for election.,"https://ballotpedia.org/Alaska_Supreme_Court_elections,_2020",Yes,
AL,Shaw (R) and Ward (R) are up for election.,"https://ballotpedia.org/Alabama_Supreme_Court_elections,_2020",No,
AR,None,,,
AZ,"Lopez, Gould, and Butinel (all R apointees) are up for election.","https://ballotpedia.org/Arizona_Supreme_Court_elections,_2020",Yes,
CA,None,,,
CO,Hart and Samour (D appointees) are up for election.,"https://ballotpedia.org/Colorado_Supreme_Court_elections,_2020",Yes,
CT,None,,,
DE,None,,,
FL,Muniz (R appointee) is up for election.,"https://ballotpedia.org/Florida_Supreme_Court_elections,_2020",Yes,
GA,None,,,
HI,None,,,
IA,"Christensen, Mansfield, McDonald, and Waterman (R appointees) are up for election. ","https://ballotpedia.org/Iowa_Supreme_Court_elections,_2020",Yes,
ID,None,,,
IL,"Neville (D), Kilbride (D), and Karmeier (R) are up for election. ","https://ballotpedia.org/Illinois_Supreme_Court_elections,_2020",Some,
IN,Goff (R appointee) is up for election.,"https://ballotpedia.org/Indiana_Supreme_Court_elections,_2020",Yes,
KS,Wilson and Rosen (D appointees) are up for election.,"https://ballotpedia.org/Kansas_Supreme_Court_elections,_2020",Yes,
KY,Wright is up for election.,"https://ballotpedia.org/Kentucky_Supreme_Court_elections,_2020",No,
LA,None,,,
MA,None,,,
MD,Barbera (D appointee) and Booth (R appointee) are up for election.,"https://ballotpedia.org/Maryland_Court_of_Appeals_elections,_2020",Yes,
ME,None,,,
MI,Markman (R appointee) and McCormack are up for election,"https://ballotpedia.org/Michigan_Supreme_Court_elections,_2020",No,
MN,Thissen (D appointee) is up for election,"https://ballotpedia.org/Minnesota_Supreme_Court_elections,_2020",No,
MO,Breckenridge (R appointee) is up for election.,"https://ballotpedia.org/Missouri_Supreme_Court_elections,_2020",Yes,
MS,"Griffis (R apointee), King , Randolph, and Coleman (nonpartisans) are up for election","https://ballotpedia.org/Mississippi_Supreme_Court_elections,_2020",No,
MT,McKinnon and Shea (D appointee) are up for election,"https://ballotpedia.org/Montana_Supreme_Court_elections,_2020",No,
NC,"Beasley (D), Davis (D), and Newby (R) are up for election","https://ballotpedia.org/North_Carolina_Supreme_Court_elections,_2020",No,
ND,J. Jensen (R appointee) is up for election,"https://ballotpedia.org/North_Dakota_Supreme_Court_elections,_2020",No,
NE,Funke (R appointee) and Miller-Lerman (D appointee) are up for election,"https://ballotpedia.org/Nebraska_Supreme_Court_elections,_2020",Yes,
NH,None,,,
NJ,None,,,
NM,"Bacon (D), Thomson (D), and Nakamura (R appointee) are up for election","https://ballotpedia.org/New_Mexico_Supreme_Court_elections,_2020",Some,
NV,One open race.,"https://ballotpedia.org/Nevada_Supreme_Court_elections,_2020",No,
NY,None,,,
OH,French (R) and Kennedy (R) are up for election,"https://ballotpedia.org/Ohio_Supreme_Court_elections,_2020",No,
OK,"Rowe, Kane, Darby (R appointees), and Colbert (D appointee) are up for election","https://ballotpedia.org/Oklahoma_Supreme_Court_elections,_2020",Yes,
OR,"Balmer, Garrett, and Walters (D appointees) are up for election","https://ballotpedia.org/Oregon_Supreme_Court_elections,_2020",No,
PA,None,,,
RI,None,,,
SC,None,,,
SD,S. Jensen (R appointee) is up for election,"https://ballotpedia.org/South_Dakota_Supreme_Court_elections,_2020",Yes,
TN,None,,,
TX,"Boyd (R), Busby (R), Hecht (R), and Bland (R) are up for election","https://ballotpedia.org/Texas_Supreme_Court_elections,_2020",No,
UT,Pearce (R appointed) is up for election,"https://ballotpedia.org/Utah_Supreme_Court_elections,_2020",Yes,
VA,None,,,
VT,None,,,
WA,"A judge's seat is up for election, but his replacement hasn't yet been named.
Montoya-Lewis, Stephens (D appointees), and Johnson are up for election","https://ballotpedia.org/Washington_Supreme_Court_elections,_2020",No,
WI,None,,,
WV,None,,,
WY,Boomgaarden and Gray (R appointees) are up for election,"https://ballotpedia.org/Wyoming_Supreme_Court_elections,_2020",Yes,